Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
enable_additional_features_title;Show 'Additional Features' Decisions;;;;;;;;;;;;;
enable_additional_features_desc;This decision shows all new optional decisions to tweak and change the game's behaviour from vanilla HPM. This, along with all decisions it enables, will disappear when you use the decision to hide it to reduce clutter.;;;;;;;;;;;;;
disable_additional_features_title;Hide 'Additional Features' Decisions;;;;;;;;;;;;;
disable_additional_features_desc;This will hide all optional new features.;;;;;;;;;;;;;
enable_multiplayer_features_title;This will enable Multiplayer features;;;;;;;;;;;;;
enable_multiplayer_features_desc;This will enable new features and disable some unbalanced options for multiplayer. ;;;;;;;;;;;;;
disable_multiplayer_features_title;This will disable Multiplayer features;;;;;;;;;;;;;
disable_multiplayer_features_desc;This will hide all optional new features.;;;;;;;;;;;;;
enable_crimeamod_subsidies_title;Enable Crimeamod Style Subsidies;;;;;;;;;;;;;
enable_crimeamod_subsidies_desc;Crimeamod is a mod for Victoria 2 which has very good AI, one given reason for this is, in the mod AI countries can't subsidize their unprofitable factories, which the AI has a tendancy to expand until it bankrupts itself. The AI seems to use the Extra money to have a bigger military, so use this option if you want to try a AI which will prioritize military spending. From my testing in the very late game industry tends to concentrate into the top industrial powers and other AI's can struggle to break into the market.;;;;;;;;;;;;;
disable_crimeamod_subsidies_title;This will turn off Crimeamod Style Subsidies;;;;;;;;;;;;;
disable_crimeamod_subsidies_desc;This will turn off Crimeamod style subsidies. Use this if you accidentlly enabled it before.;;;;;;;;;;;;;
enable_lower_infamy_mode_title;Enable Reduced Infamy Mode;;;;;;;;;;;;;
enable_lower_infamy_mode_desc;This will cause infamy for everyone to be lower, usually used in a multiplayer setting.;;;;;;;;;;;;;
disable_lower_infamy_mode_title;Disable Reduced Infamy Mode;;;;;;;;;;;;;
disable_lower_infamy_mode_desc;This will reset infamy to vanilla decay.;;;;;;;;;;;;;
lower_infamy;Reduced Infamy;;;;;;;;;;;;;
lower_infamy_desc;Infamy is decaying at a faster rate. ;;;;;;;;;;;;;
enable_victoria3_mode_title;Enable Victoria 3 Mode;;;;;;;;;;;;;
enable_victoria3_mode_desc;This mode will enable you to build/close/expand new factories and micro your economy like Victoria 3, at least as much as Victoria II allows you too... This will require a mounth tick before having any effect.;;;;;;;;;;;;;
disable_victoria3_mode_title;Disable Victoria 3 Mode;;;;;;;;;;;;;
disable_victoria3_mode_desc;This will turn off Victoria 3 mode and return you to Victoria II, where economic pollicy matters. This will require a mounth tick before having any effect.;;;;;;;;;;;;;
take_capital;Take Capital;;;;;;;;;;;;;
take_capital_setup;Take capital;;;;;;;;;;;;;
take_capital_short;Take capital of $RECIPIENT$;;;;;;;;;;;;;
take_capital_desc;Take the capital state of a country;;;;;;;;;;;;;
demand_concession_capital;Demand Capital Concession;;;;;;;;;;;;;
demand_concession_capital_desc;Force a §Ycountry§W to secede its capital to form a concession.;;;;;;;;;;;;;
demand_concession_capital_setup;Demand that $RECIPIENT$ secede their capital to form a concession.;;;;;;;;;;;;;
demand_concession_capital_short;Demand the capital state of $STATE$;;;;;;;;;;;;;
negotiated_transfer;Negotiated Transfer;;;;;;;;;;;;;
negotiated_transfer_desc;Transfer a state or colonial region to another country with no effect on infamy, prestige, or jingoism;;;;;;;;;;;;;
negotiated_transfer_short;$RECIPIENT$ receives $STATE$ from us;;;;;;;;;;;;;
negotiated_transfer_setup;Transfer $STATE$ from our country to $RECIPIENT$;;;;;;;;;;;;;
NORMAL_WAR_NEGOTIATE_NAME;$ORDER$$SECOND$ Transfer of $STATE$ to $FIRST_COUNTRY$;;;;;;;;;;;;;
AGRESSION_WAR_NEGOTIATE_NAME;$ORDER$$SECOND$ Transfer of $STATE$ to $FIRST_COUNTRY$;;;;;;;;;;;;;
enable_splendid_isolation_title;Enable Splendid Isolation;;;;;;;;;;;;;
enable_splendid_isolation_desc;This will cause an event to prevent the UK from forming an alliance with other great powers until either after 1870, Germany forms, or the UK is no longer the 1st place great power.;;;;;;;;;;;;;
